The optimum value of c is: 0 and the H transform max is: 4
4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| -4 + 0i| 4 + 0i| -4 + 0i| 4 + 0i| 4 + 0i| -4 + 0i| -4 + 0i| 4 + 0i| -4 + 0i| -4 + 0i| 4 + 0i| 
4 + 0i| 4 + 0i| 0 + 4i| 0 + 4i| 4 + 0i| -4 + 0i| 0 + 4i| 0 + -4i| 4 + 0i| 4 + 0i| 0 + -4i| 0 + -4i| 4 + 0i| -4 + 0i| 0 + -4i| 0 + 4i| 
4 + 0i| 0 + 4i| 4 + 0i| 0 + 4i| 4 + 0i| 0 + -4i| 4 + 0i| 0 + -4i| 4 + 0i| 0 + 4i| -4 + 0i| 0 + -4i| 4 + 0i| 0 + -4i| -4 + 0i| 0 + 4i| 
4 + 0i| 0 + 4i| 0 + 4i| -4 + 0i| 4 + 0i| 0 + -4i| 0 + 4i| 4 + 0i| 4 + 0i| 0 + 4i| 0 + -4i| 4 + 0i| 4 + 0i| 0 + -4i| 0 + -4i| -4 + 0i| 
4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| -4 + 0i| 4 + 0i| -4 + 0i| 0 + 4i| 0 + 4i| 0 + -4i| 0 + -4i| 0 + 4i| 0 + -4i| 0 + -4i| 0 + 4i| 
4 + 4i| 4 + 4i| 0 + 0i| 0 + 0i| 4 + 4i| -4 + -4i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 4 + -4i| 4 + -4i| 0 + 0i| 0 + 0i| 4 + -4i| -4 + 4i| 
4 + 0i| 0 + 4i| 4 + 0i| 0 + 4i| 4 + 0i| 0 + -4i| 4 + 0i| 0 + -4i| 0 + 4i| -4 + 0i| 0 + -4i| 4 + 0i| 0 + 4i| 4 + 0i| 0 + -4i| -4 + 0i| 
4 + 4i| -4 + 4i| 0 + 0i| 0 + 0i| 4 + 4i| 4 + -4i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 4 + -4i| 4 + 4i| 0 + 0i| 0 + 0i| 4 + -4i| -4 + -4i| 
4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| 0 + 4i| 0 + -4i| 0 + 4i| 0 + -4i| 4 + 0i| 4 + 0i| -4 + 0i| -4 + 0i| 0 + 4i| 0 + -4i| 0 + -4i| 0 + 4i| 
4 + 0i| 4 + 0i| 0 + 4i| 0 + 4i| 0 + 4i| 0 + -4i| -4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| 0 + -4i| 0 + -4i| 0 + 4i| 0 + -4i| 4 + 0i| -4 + 0i| 
4 + 4i| 0 + 0i| 4 + 4i| 0 + 0i| 0 + 0i| 4 + -4i| 0 + 0i| 4 + -4i| 4 + 4i| 0 + 0i| -4 + -4i| 0 + 0i| 0 + 0i| 4 + -4i| 0 + 0i| -4 + 4i| 
4 + 4i| 0 + 0i| -4 + 4i| 0 + 0i| 0 + 0i| 4 + -4i| 0 + 0i| 4 + 4i| 4 + 4i| 0 + 0i| 4 + -4i| 0 + 0i| 0 + 0i| 4 + -4i| 0 + 0i| -4 + -4i| 
4 + 0i| 4 + 0i| 4 + 0i| 4 + 0i| 0 + 4i| 0 + -4i| 0 + 4i| 0 + -4i| 0 + 4i| 0 + 4i| 0 + -4i| 0 + -4i| -4 + 0i| 4 + 0i| 4 + 0i| -4 + 0i| 
4 + 4i| 4 + 4i| 0 + 0i| 0 + 0i| -4 + 4i| 4 + -4i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 4 + -4i| 4 + -4i| 0 + 0i| 0 + 0i| 4 + 4i| -4 + -4i| 
4 + 4i| 0 + 0i| 4 + 4i| 0 + 0i| 0 + 0i| 4 + -4i| 0 + 0i| 4 + -4i| -4 + 4i| 0 + 0i| 4 + -4i| 0 + 0i| 0 + 0i| 4 + 4i| 0 + 0i| -4 + -4i| 
0 + 8i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 8 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 8 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + 0i| 0 + -8i| 
